
📻┃央视,#genre#
CGTN纪录,http://ygbh666.cn/aikmigu.php?id=cgtnjl$QQ群:884510250
CGTN西语,http://ygbh666.cn/aikmigu.php?id=cgtne$QQ群:884510250
CGTN阿语,http://ygbh666.cn/aikmigu.php?id=cgtna$QQ群:884510250
CGTN法语,http://ygbh666.cn/aikmigu.php?id=cgtnf$QQ群:884510250
CGTN俄语,http://ygbh666.cn/aikmigu.php?id=cgtnr$QQ群:884510250
发现之旅,http://ygbh666.cn/aikmigu.php?id=fxzl$QQ群:884510250
央老故事,http://ygbh666.cn/aikmigu.php?id=lgs$QQ群:884510250
央中学生,http://ygbh666.cn/aikmigu.php?id=zxs$QQ群:884510250
家庭影院,http://ygbh666.cn/aikmigu.php?id=chcjt$QQ群:884510250
动作电影,http://ygbh666.cn/aikmigu.php?id=chcdz$QQ群:884510250
CGTN纪录,http://ttkx.live:55/lib/aikan.php?id=cgtnjl$QQ群:884510250
CGTN西语,http://ttkx.live:55/lib/aikan.php?id=cgtne$QQ群:884510250
CGTN阿语,http://ttkx.live:55/lib/aikan.php?id=cgtna$QQ群:884510250
CGTN法语,http://ttkx.live:55/lib/aikan.php?id=cgtnf$QQ群:884510250
CGTN俄语,http://ttkx.live:55/lib/aikan.php?id=cgtnr$QQ群:884510250
CHC家庭影院,http://ttkx.live:55/lib/aikan.php?id=chcjt$QQ群:884510250
CHC动作电影,http://ttkx.live:55/lib/aikan.php?id=chcdz$QQ群:884510250
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回看$QQ群:884510250
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$可回看$QQ群:884510250
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$可回看$QQ群:884510250
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$可回看$QQ群:884510250
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$可回看$QQ群:884510250
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$可回看$QQ群:884510250
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$可回看$QQ群:884510250
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$可回看$QQ群:884510250
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$可回看$QQ群:884510250
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$可回看$QQ群:884510250
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$可回看$QQ群:884510250
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$可回看$QQ群:884510250
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$可回看$QQ群:884510250
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$可回看$QQ群:884510250
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$可回看$QQ群:884510250
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$可回看$QQ群:884510250
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$可回看$QQ群:884510250
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$可回看$QQ群:884510250
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$可回看$QQ群:884510250
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$可回看$QQ群:884510250
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$可回看$QQ群:884510250
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$可回看$QQ群:884510250
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$可回看$QQ群:884510250
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$可回看$QQ群:884510250
CCTV3,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$可回看$QQ群:884510250
CCTV4,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$可回看$QQ群:884510250
CCTV5,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$可回看$QQ群:884510250
CCTV5+,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$可回看$QQ群:884510250
CCTV6,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$可回看$QQ群:884510250
CCTV7,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$可回看$QQ群:884510250
CCTV8,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$可回看$QQ群:884510250
CCTV9,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$可回看$QQ群:884510250
CCTV10,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8$可回看$QQ群:884510250
CCTV11,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8$可回看$QQ群:884510250
CCTV12,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8$可回看$QQ群:884510250
CCTV13,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226011/index.m3u8$可回看$QQ群:884510250
CCTV14,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8$可回看$QQ群:884510250
CCTV15,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8$可回看$QQ群:884510250
CCTV16,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8$可回看$QQ群:884510250
CCTV17,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8$可回$QQ群:884510250
CCTV1-HEVC,http://www.dsmcloud.top:8888/udp/239.81.1.2:4056$QQ群:884510250
CCTV2-HEVC,http://www.dsmcloud.top:8888/udp/239.81.1.3:4056$QQ群:884510250
CCTV2财经,http://www.dsmcloud.top:8888/udp/239.81.0.115:4056$QQ群:884510250
CCTV3-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.4:4056$QQ群:884510250
CCTV3综艺AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.231:4056$QQ群:884510250
CCTV4-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.5:4056$QQ群:884510250
CCTV4中文国际DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.96:4056$QQ群:884510250
CCTV5+-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.18:4056$QQ群:884510250
CCTV5+[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.101:4056$QQ群:884510250
CCTV5-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.6:4056$QQ群:884510250
CCTV5体育[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.133:4056$QQ群:884510250
CCTV6-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.7:4056$QQ群:884510250
CCTV6电影AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.233:4056$QQ群:884510250
CCTV7-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.8:4056$QQ群:884510250
CCTV7国防军事DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.116:4056$QQ群:884510250
CCTV8-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.9:4056$QQ群:884510250
CCTV8电视剧AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.234:4056$QQ群:884510250
CCTV9-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.10:4056$QQ群:884510250
CCTV9纪录DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.117:4056$QQ群:884510250
CCTV10-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.11:4056$QQ群:884510250
CCTV10科教DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.118:4056$QQ群:884510250
CCTV11-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.12:4056$QQ群:884510250
CCTV11戏曲DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.229:4056$QQ群:884510250
CCTV12-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.13:4056$QQ群:884510250
CCTV12社会与法DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.119:4056$QQ群:884510250
CCTV13-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.14:4056$QQ群:884510250
CCTV13新闻DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.206:4056$QQ群:884510250
CCTV14-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.15:4056$QQ群:884510250
CCTV14少儿DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.120:4056$QQ群:884510250
CCTV15-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.16:4056$QQ群:884510250
CCTV15体育AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.232:4056$QQ群:884510250
CCTV15音乐DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.230:4056$QQ群:884510250
CCTV16奥林匹克[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.142:4056$QQ群:884510250
CCTV17-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.19:4056$QQ群:884510250
CCTV17农业农村DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.228:4056$QQ群:884510250
CETV-1-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.60:4056$QQ群:884510250
CETV-4-AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.188:4056$QQ群:884510250
CETV1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.92:4056$QQ群:884510250
CHC动作电影[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.239:4056$QQ群:884510250
CHC家庭影院[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.238:4056$QQ群:884510250
CHC高清电影[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.240:4056$QQ群:884510250
📻|卫视,#genre#
东南卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.34:4056$QQ群:884510250
东南卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.215:4056$QQ群:884510250
东方卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.23:4056$QQ群:884510250
东方卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.111:4056$QQ群:884510250
云南卫视-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.42:4056$QQ群:884510250
五星体育[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.184:4056$QQ群:884510250
北京卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.24:4056$QQ群:884510250
北京卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.109:4056$QQ群:884510250
北海新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.154:4056$QQ群:884510250
南宁公共[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.141:4056$QQ群:884510250
南宁影视娱乐[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.140:4056$QQ群:884510250
南宁文旅生活[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.139:4056$QQ群:884510250
南宁新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.241:4056$QQ群:884510250
吉林卫视-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.50:4056$QQ群:884510250
吉林卫视AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.143:4056$QQ群:884510250
和平游戏直播频道[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.201:4056$QQ群:884510250
四川卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.39:4056$QQ群:884510250
四川卫视DD5.1-384K[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.130:4056$QQ群:884510250
天津卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.28:4056$QQ群:884510250
天津卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.113:4056$QQ群:884510250
安徽卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.36:4056$QQ群:884510250
安徽卫视AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.211:4056$QQ群:884510250
容县电视台[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.194:4056$QQ群:884510250
百事通,http://www.dsmcloud.top:8888/udp/239.81.0.178:4056$QQ群:884510250
百事通4k,http://www.dsmcloud.top:8888/udp/239.81.0.01:4056$QQ群:884510250
山东卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.30:4056$QQ群:884510250
山东卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.114:4056$QQ群:884510250
广东卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.21:4056$QQ群:884510250
广东卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.104:4056$QQ群:884510250
广告[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.124:4056$QQ群:884510250
广西IPTV[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.203:4056$QQ群:884510250
广西IPTV[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.208:4056$QQ群:884510250
广西卫视AC3-512[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.107:4056$QQ群:884510250
广西影视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.250:4056$QQ群:884510250
广西新闻[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.248:4056$QQ群:884510250
广西综艺旅游[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.214:4056$QQ群:884510250
广西都市[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.247:4056$QQ群:884510250
防城港新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.151:4056$QQ群:884510250
贵港新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.172:4056$QQ群:884510250
来宾综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.173:4056$QQ群:884510250
柳州新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.175:4056$QQ群:884510250
玉林,http://www.dsmcloud.top:8888/udp/239.81.0.177:4056$QQ群:884510250
桂林新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.174:4056$QQ群:884510250
梧州新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.176:4056$QQ群:884510250
求索|纪录[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.153:4056$QQ群:884510250
江苏卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.26:4056$QQ群:884510250
江苏卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.106:4056$QQ群:884510250
江西卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.38:4056$QQ群:884510250
江西卫视AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.204:4056$QQ群:884510250
河北卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.32:4056$QQ群:884510250
河北卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.94:4056$QQ群:884510250
河南卫视-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.41:4056$QQ群:884510250
河池新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.168:4056$QQ群:884510250
浙江卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.25:4056$QQ群:884510250
浙江卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.108:4056$QQ群:884510250
海南卫视-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.45:4056$QQ群:884510250
深圳卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.27:4056$QQ群:884510250
深圳卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.103:4056$QQ群:884510250
湖北卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.29:4056$QQ群:884510250
湖北卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.112:4056$QQ群:884510250
湖南卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.22:4056$QQ群:884510250
湖南卫视DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.110:4056$QQ群:884510250
灵山县电视台[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.189:4056$QQ群:884510250
玉林新闻综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.177:4056$QQ群:884510250
王者游戏直播频道[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.202:4056$QQ群:884510250
甘肃卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.207:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.178:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.179:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.180:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.183:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.185:4056$QQ群:884510250
百事测试[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.186:4056$QQ群:884510250
百色综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.150:4056$QQ群:884510250
睛彩广场舞[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.193:4056$QQ群:884510250
睛彩竞技（试播）[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.190:4056$QQ群:884510250
睛彩篮球[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.191:4056$QQ群:884510250
睛彩羽毛球[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.192:4056$QQ群:884510250
精彩|影视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.152:4056$QQ群:884510250
纪实人文-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.70:4056$QQ群:884510250
纪实科教-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.69:4056$QQ群:884510250
芒果TV[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.100:4056$QQ群:884510250
贵州卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.33:4056$QQ群:884510250
贵州卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.95:4056$QQ群:884510250
贺州综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.163:4056$QQ群:884510250
辽宁卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.35:4056$QQ群:884510250
辽宁卫视AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.210:4056$QQ群:884510250
重庆卫视-H264-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.44:4056$QQ群:884510250
金鹰卡通DD5.1[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.148:4056$QQ群:884510250
金鹰纪实[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.91:4056$QQ群:884510250
黑龙江卫视-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.31:4056$QQ群:884510250
黑龙江卫视[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.105:4056$QQ群:884510250
钦州综合[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.164:4056$QQ群:884510250
河池新闻,http://www.dsmcloud.top:8888/udp/239.81.0.168:4056$QQ群:884510250
贵港,http://www.dsmcloud.top:8888/udp/239.81.0.172:4056$QQ群:884510250
来宾,http://www.dsmcloud.top:8888/udp/239.81.0.173:4056$QQ群:884510250
未知,http://www.dsmcloud.top:8888/udp/239.81.0.174:4056$QQ群:884510250
未知1,http://www.dsmcloud.top:8888/udp/239.81.0.175:4056$QQ群:884510250
未知2,http://www.dsmcloud.top:8888/udp/239.81.0.176:4056$QQ群:884510250
📺电信央卫,#genre#
CCTV1综合,http://www.dsmcloud.top:8888/udp/239.81.0.102:4056$QQ群:884510250
CCTV1-HEVC,http://www.dsmcloud.top:8888/udp/239.81.1.2:4056$QQ群:884510250
CCTV2-HEVC,http://www.dsmcloud.top:8888/udp/239.81.1.3:4056$QQ群:884510250
CCTV2财经,http://www.dsmcloud.top:8888/udp/239.81.0.115:4056$QQ群:884510250
CCTV3-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.4:4056$QQ群:884510250
CCTV3综艺AC3[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.0.231:4056$QQ群:884510250
CCTV4-HEVC-AAC[1920*1080],http://www.dsmcloud.top:8888/udp/239.81.1.5:4056$QQ群:884510250
