臺灣 Taiwan,#genre#
Rock Entertainment,http://154.9.232.236/mlTW22588.php?id=Rockentertain
香港 Hongkong,#genre#
J2(備用),http://154.9.232.236/mlTW22588.php?id=j2_hkdavid
J2,http://154.9.232.236/mlTW22588.php?id=j2_twn
RHK 31,http://154.9.232.236/mlTW22588.php?id=rhk31_twn
RHK 32,http://154.9.232.236/mlTW22588.php?id=rhk32_twn
TVB 星河,http://154.9.232.236/mlTW22588.php?id=tvbxinhe_twn
VIUTV1,http://154.9.232.236/mlTW22588.php?id=viu1_twn
Viu TV 69,http://154.9.232.236/mlTW22588.php?id=viutv69_hkdavid
Viu6,http://154.9.232.236/mlTW22588.php?id=viusix_twn
iNews 新聞台,http://154.9.232.236/mlTW22588.php?id=inews_twn
無線財經資訊台,http://154.9.232.236/mlTW22588.php?id=tvbcaijing_twn
珍珠台(備用),http://154.9.232.236/mlTW22588.php?id=pearl_hkdavid
珍珠台,http://154.9.232.236/mlTW22588.php?id=pearl_twn
翡翠台(備用),http://154.9.232.236/mlTW22588.php?id=jade_mike
翡翠台,http://154.9.232.236/mlTW22588.php?id=jade_twn
鳳凰衛視,http://154.9.232.236/mlTW22588.php?id=phoenixtv_hd
鳳凰資訊,http://154.9.232.236/mlTW22588.php?id=phoenixinfo_hd
鳳凰香港,http://154.9.232.236/mlTW22588.php?id=hkphoenix_twn
中國 China,#genre#
CCTV-1,http://154.9.232.236/mlTW22588.php?id=cctv1
CCTV-2,http://154.9.232.236/mlTW22588.php?id=cctv2
CCTV-3,http://154.9.232.236/mlTW22588.php?id=cctv3
CCTV-4,http://154.9.232.236/mlTW22588.php?id=cctv4
CCTV-4,http://154.9.232.236/mlTW22588.php?id=Cctv4
CCTV-5,http://154.9.232.236/mlTW22588.php?id=cctv5
CCTV-5+,http://154.9.232.236/mlTW22588.php?id=cctv5plus
CCTV-6,http://154.9.232.236/mlTW22588.php?id=cctv6
CCTV-7,http://154.9.232.236/mlTW22588.php?id=cctv7
CCTV-8,http://154.9.232.236/mlTW22588.php?id=cctv8hd
CCTV-9,http://154.9.232.236/mlTW22588.php?id=cctv9hd
CCTV-10,http://154.9.232.236/mlTW22588.php?id=cctv10hd
CCTV-11,http://154.9.232.236/mlTW22588.php?id=cctv11
CCTV-12,http://154.9.232.236/mlTW22588.php?id=cctv12
CCTV-13,http://154.9.232.236/mlTW22588.php?id=cctv13
CCTV-14,http://154.9.232.236/mlTW22588.php?id=cctv14
CCTV-15,http://154.9.232.236/mlTW22588.php?id=cctv15
CCTV-16,http://154.9.232.236/mlTW22588.php?id=cctv16
CCTV-17,http://154.9.232.236/mlTW22588.php?id=cctv17
湖南衛視,http://154.9.232.236/mlTW22588.php?id=hunan_twn
江蘇衛視,http://154.9.232.236/mlTW22588.php?id=jiangsu_twn
深圳衛視,http://154.9.232.236/mlTW22588.php?id=shenzhen
大灣區衛視,http://154.9.232.236/mlTW22588.php?id=nanfang_twn
廣東衛視,http://154.9.232.236/mlTW22588.php?id=guangdongweishi_twn
北京衛視,http://154.9.232.236/mlTW22588.php?id=beijing
廣東珠江,http://154.9.232.236/mlTW22588.php?id=zhujiang
廣西衛視,http://154.9.232.236/mlTW22588.php?id=guangxi
湖北衛視,http://154.9.232.236/mlTW22588.php?id=hubei
四川衛視,http://154.9.232.236/mlTW22588.php?id=sichuan_twn
鳳凰衛視,http://154.9.232.236/mlTW22588.php?id=phoenixtv_hd
東方衛視,http://154.9.232.236/mlTW22588.php?id=dongfangweishi_twn
CGTN,http://154.9.232.236/mlTW22588.php?id=CGTN
鳳凰資訊,http://154.9.232.236/mlTW22588.php?id=phoenixinfo_hd


體育 Sports,#genre#
愛爾達體育 1,http://154.9.232.236/mlTW22588.php?id=eltasport_twn
愛爾達體育 2,http://154.9.232.236/mlTW22588.php?id=eltasport2_twn
愛爾達體育 3,http://154.9.232.236/mlTW22588.php?id=eltasport3_twn
ELEVEN 1,http://154.9.232.236/mlTW22588.php?id=golfchannel_twn
博斯無限,http://154.9.232.236/mlTW22588.php?id=bosiunlimited_twn
博斯網球,http://154.9.232.236/mlTW22588.php?id=bositennis_twn
博斯運動1,http://154.9.232.236/mlTW22588.php?id=bosisport1_twn
博斯運動2,http://154.9.232.236/mlTW22588.php?id=bosisport2_twn
博斯高球1,http://154.9.232.236/mlTW22588.php?id=bosigolf1_twn
博斯高球2,http://154.9.232.236/mlTW22588.php?id=bosigolf2_twn
緯來體育台,http://154.9.232.236/mlTW22588.php?id=videolandsport
Supersports 1,http://154.9.232.236/mlTW22588.php?id=Assp1
Supersports 1(備用),http://154.9.232.236/mlTW22588.php?id=go_assp1
Supersportq 1(備用2),http://154.9.232.236/mlTW22588.php?id=Assp1_mega
Supersports 2,http://154.9.232.236/mlTW22588.php?id=Assp2
Supersports 2(備用),http://154.9.232.236/mlTW22588.php?id=go_assp2
Supersports 3,http://154.9.232.236/mlTW22588.php?id=Assp3
Supersports 3(備用),http://154.9.232.236/mlTW22588.php?id=go_assp3
Supersports 3(備用2),http://154.9.232.236/mlTW22588.php?id=Assp3_mega
Supersports 4,http://154.9.232.236/mlTW22588.php?id=Assp4_mega
Supersports 4(備用),http://154.9.232.236/mlTW22588.php?id=go_assp4
Supersports 5,http://154.9.232.236/mlTW22588.php?id=go_assp5
Bein 2HD,http://154.9.232.236/mlTW22588.php?id=Beinhd
Beinsports HD,http://154.9.232.236/mlTW22588.php?id=Besports
Champion 5 EPL,http://154.9.232.236/mlTW22588.php?id=Champion5epl
WWE,http://154.9.232.236/mlTW22588.php?id=Wwe
Champion 6 EPL,http://154.9.232.236/mlTW22588.php?id=Champion6epl
Fight Sports,http://154.9.232.236/mlTW22588.php?id=Fs
UFC Network,http://154.9.232.236/mlTW22588.php?id=ufc_mega
NBA TV,http://154.9.232.236/mlTW22588.php?id=nbatv_twn
Astro Cricket,http://154.9.232.236/mlTW22588.php?id=Acricket_mega
Astro Golf,http://154.9.232.236/mlTW22588.php?id=Agolf
TNT Sports 1,http://154.9.232.236/mlTW22588.php?id=beeone
TNT Sports 2,http://154.9.232.236/mlTW22588.php?id=beetwo
TNT Sports 3,http://154.9.232.236/mlTW22588.php?id=beethree
TNT Sports 4,http://154.9.232.236/mlTW22588.php?id=beefour
Sony Ten 1,http://154.9.232.236/mlTW22588.php?id=ten1_raj
Sony Ten 2,http://154.9.232.236/mlTW22588.php?id=ten2_raj
Sony Ten 3,http://154.9.232.236/mlTW22588.php?id=ten3_raj
SPOTV 1 HD,http://154.9.232.236/mlTW22588.php?id=go_spotv
SPO TV 2,http://154.9.232.236/mlTW22588.php?id=go_spotv2
Beinsports 2 HD,http://154.9.232.236/mlTW22588.php?id=Bein2hd
Skysports Arena,http://154.9.232.236/mlTW22588.php?id=tiankongarena
Skysports F1,http://154.9.232.236/mlTW22588.php?id=tiankongf1
Skysports Cricket,http://154.9.232.236/mlTW22588.php?id=tiankongcricket
Skysports EPL,http://154.9.232.236/mlTW22588.php?id=tiankongepl
Skysports Football,http://154.9.232.236/mlTW22588.php?id=tiankongfootball
Skysports Golf,http://154.9.232.236/mlTW22588.php?id=tiankonggolf
Skysports Main Event,http://154.9.232.236/mlTW22588.php?id=tiankongmain
Skysports News,http://154.9.232.236/mlTW22588.php?id=tiankongnews
Skysports NFL,http://154.9.232.236/mlTW22588.php?id=tiankongnfl
Skysports Racing,http://154.9.232.236/mlTW22588.php?id=tiankongracing
Skysports Mix,http://154.9.232.236/mlTW22588.php?id=tiankongmix
CCTV-5,http://154.9.232.236/mlTW22588.php?id=cctv5
CCTV-5+,http://154.9.232.236/mlTW22588.php?id=cctv5plus
RTM Sports HD,http://154.9.232.236/mlTW22588.php?id=Rtmsport
Arena,http://154.9.232.236/mlTW22588.php?id=Arena
Arena 2,http://154.9.232.236/mlTW22588.php?id=Arena2
BolaArena 1,http://154.9.232.236/mlTW22588.php?id=Bolaarena1
Bein 1 Sports,http://154.9.232.236/mlTW22588.php?id=bein1_mega
Bein 2 Sports,http://154.9.232.236/mlTW22588.php?id=bein2_mega
Bein 3 Sports,http://154.9.232.236/mlTW22588.php?id=bein3_mega
Bein 4 Sports,http://154.9.232.236/mlTW22588.php?id=bein4_mega
Bein 5 Sports,http://154.9.232.236/mlTW22588.php?id=bein5_mega
Bein 6 Sports,http://154.9.232.236/mlTW22588.php?id=bein6_mega
Bein 7 Sports,http://154.9.232.236/mlTW22588.php?id=bein7_mega
Rugby Pass TV,http://154.9.232.236/mlTW22588.php?id=Rugbypasstv
BolaArena 2,http://154.9.232.236/mlTW22588.php?id=Bolaarena2



電影 Movie,#genre#
AXN,http://154.9.232.236/mlTW22588.php?id=axn_twn
Animax,http://154.9.232.236/mlTW22588.php?id=Animax
Astrol Kplus,http://154.9.232.236/mlTW22588.php?id=Kplus
Axn HD,http://154.9.232.236/mlTW22588.php?id=Axn
CCTV-6,http://154.9.232.236/mlTW22588.php?id=cctv6
CINEMAX,http://154.9.232.236/mlTW22588.php?id=cinemax_twn
Celestial Classic,http://154.9.232.236/mlTW22588.php?id=Celestial2
Celestial Movies HD,http://154.9.232.236/mlTW22588.php?id=Celestialindo
Cinemax,http://154.9.232.236/mlTW22588.php?id=Cinemax
HBO Family,http://154.9.232.236/mlTW22588.php?id=Hbofamily
HBO HD,http://154.9.232.236/mlTW22588.php?id=Hbo
HBO Hits,http://154.9.232.236/mlTW22588.php?id=Hbohits
HBO Signature,http://154.9.232.236/mlTW22588.php?id=Hbosignature
HBO_HD,http://154.9.232.236/mlTW22588.php?id=hbohd_twn
HBO_HITS,http://154.9.232.236/mlTW22588.php?id=hbohits_twn
Hits Movie,http://154.9.232.236/mlTW22588.php?id=Hitsmovie
Hits,http://154.9.232.236/mlTW22588.php?id=Hits
Hollywood Movies,http://154.9.232.236/mlTW22588.php?id=hollywoodmovies_twn
Movies Now HD,http://154.9.232.236/mlTW22588.php?id=moviesnow_raj
One,http://154.9.232.236/mlTW22588.php?id=One_mega
Paramount Network,http://154.9.232.236/mlTW22588.php?id=Paramountnetwork
Rock Actions,http://154.9.232.236/mlTW22588.php?id=Rockaction
Rock Entertainment,http://154.9.232.236/mlTW22588.php?id=Rockentertain
SCM,http://154.9.232.236/mlTW22588.php?id=Weishimovie
Sony Pix HD,http://154.9.232.236/mlTW22588.php?id=sonypix_mega
Star Movies HD,http://154.9.232.236/mlTW22588.php?id=starmovies_raj
Thrill,http://154.9.232.236/mlTW22588.php?id=Thrill
Warner TV,http://154.9.232.236/mlTW22588.php?id=WarnerTV
tvN Movie,http://154.9.232.236/mlTW22588.php?id=Tvnmovie
大愛2台,http://154.9.232.236/mlTW22588.php?id=catchplay_twn
龍華電影,http://154.9.232.236/mlTW22588.php?id=xingwei_movie
東森洋片,http://154.9.232.236/mlTW22588.php?id=ettvwestern
東森電影,http://154.9.232.236/mlTW22588.php?id=ettvmovie
美亞電影,http://154.9.232.236/mlTW22588.php?id=meiyamovie_twn
龍華洋片,http://154.9.232.236/mlTW22588.php?id=lunghuawestern_twn
龍祥时代,http://154.9.232.236/mlTW22588.php?id=lungxiangtime_twn



紀錄 Documentary,#genre#
AFC 亞洲旅遊台,http://154.9.232.236/mlTW22588.php?id=asiatravel_twn
Animal Planet (Eng),http://154.9.232.236/mlTW22588.php?id=AnimalPlanet
Animal_Planet,http://154.9.232.236/mlTW22588.php?id=animalplanet_twn
Asia Travel,http://154.9.232.236/mlTW22588.php?id=asiatravel_twn
BBC Earth HD,http://154.9.232.236/mlTW22588.php?id=bbcearth_twn
BBC Earth Lifestyle,http://154.9.232.236/mlTW22588.php?id=bbclifestyle_twn
CI,http://154.9.232.236/mlTW22588.php?id=ci_twn
Discovery Asia,http://154.9.232.236/mlTW22588.php?id=discoverytwn_twn
Discovery HD,http://154.9.232.236/mlTW22588.php?id=discoveryhd_twn
Fashion TV,http://154.9.232.236/mlTW22588.php?id=fashiontv_twn
Foodnetwork Hd,http://154.9.232.236/mlTW22588.php?id=Foodnetwork_mega
HGTV,http://154.9.232.236/mlTW22588.php?id=HGTV
History,http://154.9.232.236/mlTW22588.php?id=History
MTV Live,http://154.9.232.236/mlTW22588.php?id=mtvhd_twn
NatGeo HD,http://154.9.232.236/mlTW22588.php?id=Natgeo
NatGeo Wild HD,http://154.9.232.236/mlTW22588.php?id=Natgeowild
NatGeo_Wild HD,http://154.9.232.236/mlTW22588.php?id=natgeowild_twn
Natgeo_HD,http://154.9.232.236/mlTW22588.php?id=natgeohd_twn
TLC,http://154.9.232.236/mlTW22588.php?id=Tlc
TLC Asia,http://154.9.232.236/mlTW22588.php?id=tlc_twn
亞洲美食,http://154.9.232.236/mlTW22588.php?id=afc_twn
美食星球,http://154.9.232.236/mlTW22588.php?id=foodplanet_twn



新聞 News,#genre#
ABC News,http://154.9.232.236/mlTW22588.php?id=abcnews_glo
